Date (undefined);x (au);y (au);z (au);Dobs (au);Phase (deg);VMag (mag);vx (au/d);vy (au/d);vz (au/d);Vr (km/s)
2019-09-11T05:57:46.603;-1.593598826057;0.478358103264;0.055111048075;1.664758517319;0;-1.52;-0.003505719178;-0.01220221268;-0.000322028501;-0.2788046
2019-09-12T05:57:46.603;-1.597053399922;0.466140668825;0.054787255127;1.664592541332;0;-1.52;-0.003403379883;-0.012232503664;-0.000325553488;-0.2959531
2019-09-13T05:57:46.603;-1.600405509255;0.45389333032;0.054459947059;1.664416665141;0;-1.52;-0.003300790692;-0.012262019043;-0.000329058669;-0.313088
2019-09-14T05:57:46.603;-1.60365490645;0.441616864283;0.054129143764;1.664230896842;0;-1.52;-0.00319795621;-0.012290756958;-0.000332543867;-0.3302084
2019-09-15T05:57:46.603;-1.606801348508;0.429312049102;0.053794865313;1.664035245001;0;-1.52;-0.00309488105;-0.012318715554;-0.000336008907;-0.3473137
2019-09-16T05:57:46.603;-1.60984459705;0.416979665022;0.053457131949;1.663829718646;0;-1.52;-0.002991569835;-0.012345892982;-0.000339453615;-0.3644028
2019-09-17T05:57:46.603;-1.612784418327;0.40462049413;0.053115964094;1.663614327273;0;-1.52;-0.002888027201;-0.012372287399;-0.000342877815;-0.3814751
2019-09-18T05:57:46.603;-1.615620583227;0.392235320354;0.052771382342;1.663389080845;0;-1.52;-0.002784257792;-0.012397896968;-0.000346281331;-0.3985298
2019-09-19T05:57:46.603;-1.618352867291;0.379824929458;0.052423407465;1.663153989791;0;-1.52;-0.002680266265;-0.012422719859;-0.000349663988;-0.415566
2019-09-20T05:57:46.603;-1.620981050724;0.367390109031;0.05207206041;1.66290906501;0;-1.52;-0.002576057289;-0.012446754245;-0.00035302561;-0.4325829
2019-09-21T05:57:46.603;-1.623504918401;0.354931648489;0.051717362298;1.662654317871;0;-1.52;-0.002471635546;-0.012469998306;-0.000356366021;-0.4495798
2019-09-22T05:57:46.603;-1.62592425989;0.342450339063;0.051359334428;1.662389760212;0;-1.52;-0.002367005727;-0.01249245023;-0.000359685046;-0.4665557
2019-09-23T05:57:46.603;-1.628238869455;0.329946973795;0.050997998274;1.662115404341;0;-1.52;-0.00226217254;-0.012514108207;-0.000362982509;-0.4835099
2019-09-24T05:57:46.603;-1.630448546073;0.317422347532;0.050633375487;1.661831263041;0;-1.52;-0.002157140704;-0.012534970436;-0.000366258233;-0.5004415
2019-09-25T05:57:46.603;-1.632553093451;0.304877256922;0.050265487892;1.661537349564;0;-1.52;-0.002051914954;-0.012555035119;-0.000369512042;-0.5173498
2019-09-26T05:57:46.603;-1.634552320033;0.292312500404;0.049894357492;1.66123367764;0;-1.52;-0.001946500037;-0.012574300468;-0.00037274376;-0.5342339
2019-09-27T05:57:46.603;-1.636446039021;0.279728878208;0.049520006467;1.660920261472;0;-1.52;-0.001840900716;-0.012592764698;-0.00037595321;-0.551093
2019-09-28T05:57:46.603;-1.638234068385;0.267127192341;0.049142457173;1.66059711574;0;-1.52;-0.001735121769;-0.01261042603;-0.000379140215;-0.5679263
2019-09-29T05:57:46.603;-1.639916230883;0.25450824659;0.048761732142;1.660264255599;0;-1.52;-0.001629167989;-0.012627282693;-0.000382304599;-0.5847329
2019-09-30T05:57:46.603;-1.641492354073;0.241872846507;0.048377854084;1.659921696684;0;-1.52;-0.001523044185;-0.01264333292;-0.000385446183;-0.6015121
2019-10-01T05:57:46.603;-1.642962270329;0.229221799411;0.047990845887;1.659569455111;0;-1.52;-0.001416755183;-0.012658574952;-0.000388564792;-0.6182629
2019-10-02T05:57:46.603;-1.64432581686;0.216555914372;0.047600730616;1.659207547475;0;-1.52;-0.001310305824;-0.012673007036;-0.000391660247;-0.6349845
2019-10-03T05:57:46.603;-1.645582835726;0.203876002216;0.047207531512;1.658835990853;0;-1.52;-0.001203700968;-0.012686627425;-0.000394732371;-0.6516762
2019-10-04T05:57:46.603;-1.646733173855;0.191182875509;0.046811271995;1.658454802805;0;-1.52;-0.001096945492;-0.012699434379;-0.000397780986;-0.668337
2019-10-05T05:57:46.603;-1.647776683059;0.178477348554;0.046411975663;1.658064001378;0;-1.52;-0.00099004429;-0.012711426165;-0.000400805913;-0.6849662
2019-10-06T05:57:46.603;-1.648713220056;0.165760237386;0.046009666294;1.657663605102;0;-1.52;-0.000883002277;-0.012722601057;-0.000403806974;-0.7015629
2019-10-07T05:57:46.603;-1.649542646487;0.153032359761;0.045604367842;1.657253632996;0;-1.52;-0.000775824383;-0.012732957334;-0.00040678399;-0.7181262
2019-10-08T05:57:46.603;-1.650264828932;0.140294535153;0.04519610444;1.656834104568;0;-1.52;-0.00066851556;-0.012742493285;-0.000409736784;-0.7346553
